recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
chicken and cold noodles with spicy sauce,0.5476923076923077,0.3,0.15333333333333332,0.3133333333333333,0.07657142857142857,0.124,0.28800000000000003,0.466,0.0,0.0142,0.016666666666666666,0.111,0.2222222222222222,0.0,0.6,0.0,0.105,0.0475,542,-3.6788416959999983,3.803183835927404,0.931332512406661,3
chicken and rice with meat,0.3046153846153846,0.3,0.23666666666666664,0.39875,0.10342857142857144,0.14366666666666664,0.1,0.57,0.031746031746031744,0.0212,0.0,0.05,0.2777777777777778,0.0,0.65,0.0,0.1875,0.2375,467,-3.279972522666666,4.1473355410872665,0.9500285885064064,3
chicken and spaghetti,0.5246153846153846,0.85,0.42,0.79125,0.2445714285714285,0.314,0.40399999999999997,1.208,0.25396825396825395,0.939,0.8333333333333334,0.546,0.3333333333333333,0.6666666666666666,1.35,0.5,0.275,0.59,936,-8.618815153333337,3.9920815504178844,0.9999999997165077,2
chicken bruschetta pasta,0.19230769230769232,0.3,0.31666666666666665,0.18166666666666667,0.11657142857142858,0.08133333333333333,0.08,0.636,0.0,0.1118,0.26666666666666666,0.023,0.1111111111111111,0.0,0.85,0.5,0.105,0.1425,344,-0.6906495173333331,4.284794367288732,0.6233153298135201,0
chicken carbonara risotto,0.2307692307692308,0.25,0.27,0.3870833333333333,0.10828571428571428,0.20033333333333334,0.064,0.7759999999999999,0.2222222222222222,0.2252,0.11666666666666667,0.191,0.1111111111111111,0.0,0.65,0.0,0.1075,0.0725,535,-1.992499209333334,3.8831372680187517,0.9382787129042066,3
chicken catch a cola,0.2307692307692308,0.4,0.3366666666666667,0.43,0.15571428571428572,0.07233333333333332,0.048,0.682,0.2857142857142857,0.124,0.18333333333333326,0.075,0.1111111111111111,0.0,1.15,0.5,0.1225,0.0625,373,-3.107860620000001,4.1761059793334585,0.8768079664498571,3
chicken celery casserole,0.18307692307692308,0.15,0.2833333333333333,0.58375,0.2102857142857143,0.06933333333333333,0.14400000000000002,0.618,0.19047619047619047,1.1886,0.13333333333333333,0.104,0.1111111111111111,0.0,1.05,0.5,0.1425,0.09,315,-1.850836068000001,4.083974852831078,0.8887883152613315,3
chicken cheese and wine,0.2753846153846153,0.45,0.32666666666666666,0.3045833333333333,0.08342857142857144,0.024,0.036000000000000004,0.6579999999999999,0.06349206349206349,0.102,0.016666666666666666,0.299,0.1111111111111111,0.0,0.7,0.0,0.1025,0.0375,355,-2.455393593333335,4.1112078155643585,0.6513012955218701,0
chicken cotija,0.22,0.35,0.32666666666666666,0.635,0.2005714285714285,0.03933333333333334,0.064,0.7140000000000001,0.19047619047619047,0.113,0.15,0.245,0.1111111111111111,0.0,1.05,0.5,0.15,0.05,325,-3.2840741066666665,4.140027761314681,0.832552126409629,3
chicken dilly,0.2707692307692308,0.25,0.3233333333333333,0.042083333333333334,0.20457142857142852,0.03333333333333333,0.16,0.648,0.15873015873015872,0.1934,0.25,0.039,0.16666666666666666,0.0,0.55,0.5,0.125,0.1,330,0.796703408,4.1652143866721865,0.8512271199196222,3
